id,outfit,adding,num_outfit,created_at,created_by_id,tpo_id,type_outfit_id
1,ЧОФ,Чуйский КТ,992,,,7,1
2,ТОФ,Таласский КТ,999,,,7,1
3,НОФ,Нарынский КТ,996,,,7,1
4,ИОФ,Иссык-Кульский КТ,998,,,7,1
5,ООФ,Ошский КТ,997,,,7,1
6,ЖОФ,Жалал-Абадский КТ,994,,,7,1
7,ЦСП,Цех Систем передач,995,,,7,1
8,nul,nul,,,,7,
9,nul,nul,,,,7,
10,РПО РМТР,РПО РМТР,,,,7,1
11,БГТС,БГТС,,,,7,1
12,ОИТ,Отдел информационнх технологий,,,,7,1
13,БОФ,Баткенский КТ,993,,,7,1
14,nul,nul,,,,7,
15,nul,nul,,,,7,
16,ОЭ,Отдел энергетики,,,,7,1
17,КЦ,Контакт центр,,,,7,1
18,мцк-1,ЦКС,,,,7,1
19,TJK/TT,Таджикистан ТаджТелеком,,,,8,3
20,RUS/RT,Россия Рос Телеком,,,,3,3
21,RUS/SOVTEL,Россия,,,,3,3
22,RUS/МТТ,Россия,,,,3,3
23,KAZ/KT,Казахстан КазТелеком,,,,2,3
24,UZB/UT,Узбекистан,,,,1,3
25,TJK/Вавилон,Таджикистан Вавилон Т,,,,8,3
26,Скай Мобайл,Скай Мобайл,,,,11,2
27,Кател,Кател,,,,11,2
28,nul,nul,,,,,
29,nul,nul,,,,,
30,nul,nul,,,,,
31,nul,nul,,,,,
32,nul,nul,,,,,
33,nul,nul,,,,,
34,nul,nul,,,,,
35,Сайма-Телеком,Сайма-Телеком,,,,11,2
36,Семь Мобайл,Семь Мобайл,,,,11,2
37,МТBС,МТBС,,,,11,2
38,Кател,Кател,,,,11,2
39,Альфа-Телеком,Альфа-Телеком,,,,11,2
40,Винлайн,Винлайн,,,,11,2
41,nul,nul,,,,,
42,nul,nul,,,,,
43,CHN/CT,Китай,,,,12,3
44,DEU/DTAG,Германия,,,,12,3
45,nul,nul,,,,,
46,nul,nul,,,,,
47,НурТелеком,Кыргызтан,,,,11,2
48,nul,nul,,,,,
49,СоТел,СоТел,,,,11,2
50,Азия Инфо,Кыргызтан,,,,11,2
51,Тунь-Сунь,Тунь-Сунь,,,,11,2
52,GBR,Британия,,,,12,3
53,GB/BTSEL,Британия,,,,12,3
54,ЭлКат,Кыргызтан,,,,11,2
55,МО КР,Кыргызтан,,,,11,2
56,ПС КР,Кыргызтан,,,,11,2
57,АС-9,Кыргызтан,,,,11,2
58,NetCom,Кыргызтан,,,,11,2
59,Тотел,Кыргызстан,,,,11,2
60,ЦКС,Цех коммутационных систем,,,,7,1
61,укд-2,ООФ,,,,7,1
62,KAZ/Ивентис,Казахстан,,,,2,3
63,TJK/ТТК,Таджикистан Тел Технолоджи,,,,8,3
64,НЭСК,Кыргызтан,,,,11,2
65,КС 1166,Кыргызтан,,,,11,2
66,ККБ,Казкомммерцбанк,,,,11,2
67,Кыргызаэронавигация,Кыргызстан,,,,11,2
68,Мегалайн,Киргистан,,,,11,2
69,nul,nul,,,,,
70,nul,nul,,,,,
71,RUS/MEGFON,Россия  Мегафон,,,,3,3
72,ТранзитТ,Кыргызстан,,,,12,2
73,nul,nul,,,,,
74,KAZ/KTС,Казахстан КазТрансКом,,,,2,3
75,АбаТел ОсОО,Кыргызстан,,,,12,2
76,nul,nul,,,,,
77,ОСБС,Отдел сопровождения билинга,,,,7,1
78,Трансфер,Трансфер Групп,,,,12,2
79,Аэропорт,Аэропорт Манас,,,,12,2
80,Шмель,Шмель ОсОО,,,,12,2
81,УЭПУ,Уцасток эл установок,,,,7,1
82,RUS/TTK,Россия Транстелеком,,,,3,3
83,MNG/RC,Монголия Рэйлком,,,,11,3
84,КАН ГП,Кыргызаэронавигация,,,,12,2
85,МО РФ,МО РФ Россия,,,,12,2
86,TJK/СО,Таджикистан Сатурн-онлайн,,,,8,3
87,RUS/KVT,Россия ЗАО Квант Телеком,,,,3,3
88,TJK/In,Таджикистан ЗАО Индиго,,,,8,3
89,KAZ/TNS,Казахстан TNS,,,,4,3
90,KAZ/ V-Net,Казахстан V-Net,,,,2,3
91,Мегалайн,Мегалайн,,,,12,2
92,РЦТ,РЦТ,,,,12,2
93,RUS/Rn,Россия АО Retn.Net,,,,3,3
